model,architecture,initialization,test_week,slice_type,event_type,observation_slice,match_count,alliance_count,actual_score_mean,predicted_score_mean,mean_bias_predicted_minus_actual,alliance_score_mae,alliance_score_rmse,score_differential_rmse,actual_score_p01,actual_score_p99,predicted_score_p01,predicted_score_p99
additive,additive,pre-2026-prior,8,event_type,0,all,264,528,215.8219696969697,144.88541308926835,-70.93655660770135,89.88324145765397,113.47303217068404,117.98865811109724,21.0,553.0300000000002,27.122358416869254,398.0739616758106
additive,additive,pre-2026-prior,8,event_type,2,all,326,652,277.8174846625767,213.4396536821334,-64.37783098044332,87.03863181091985,108.73760431873906,118.96921295216514,62.51,516.96,78.57803490515451,389.90743159032564
additive,additive,pre-2026-prior,8,event_type,5,all,1052,2104,324.1083650190114,255.76051362705064,-68.34785139196077,95.07663687746805,120.15765774159833,135.32194985779734,47.03,690.9699999999998,97.8887796883527,489.502186939253
additive,additive,pre-2026-prior,10,event_type,3,all,1119,2238,434.04468275245756,339.0376293893409,-95.00705336311668,122.08128499454516,150.98103174159206,158.70454339775054,102.96000000000001,797.6300000000001,150.9326322839312,595.9244144007502
full-match,full-match,pre-2026-prior,6,event_type,0,all,601,1202,188.4567387687188,132.62225086901236,-55.83448789970643,73.81013383606872,97.20432346318412,113.5896941162001,18.009999999999998,556.9000000000001,22.45761856466055,361.85115566341085
full-match,full-match,pre-2026-prior,6,event_type,1,all,1259,2518,176.97061159650517,117.43962232529644,-59.53098927120874,72.80504514638368,94.89747631699656,99.98446992445629,21.0,553.8299999999999,18.07353218634464,374.35867183312956
full-match,full-match,pre-2026-prior,8,event_type,0,all,264,528,215.8219696969697,154.17257129703174,-61.64939839993794,81.5298782583081,104.82597797339362,114.50897004533064,21.0,553.0300000000002,35.552459365627044,431.68978393201985
full-match,full-match,pre-2026-prior,8,event_type,2,all,326,652,277.8174846625767,208.45624485736107,-69.36123980521565,89.6004621079109,111.42560357269384,117.89398414644805,62.51,516.96,66.83950640748914,406.5746989778481
full-match,full-match,pre-2026-prior,8,event_type,5,all,1052,2104,324.1083650190114,254.070547359169,-70.03781765984242,91.81663434379125,115.72573781482748,124.08900790362017,47.03,690.9699999999998,70.34512419800059,461.18494626582554
full-match,full-match,pre-2026-prior,10,event_type,3,all,1119,2238,434.04468275245756,367.178700974384,-66.86598177807355,106.3569617533388,133.90853661190283,157.55064510126803,102.96000000000001,797.6300000000001,148.36100301554254,525.3796399422351
mean,additive-control,pre-2026-prior,6,event_type,0,all,601,1202,188.4567387687188,150.999595578323,-37.457143190395804,100.01585940092356,130.26321863604517,167.14517339048493,18.009999999999998,556.9000000000001,143.99829244180822,158.00089871483777
mean,additive-control,pre-2026-prior,6,event_type,1,all,1259,2518,176.97061159650517,150.999595578323,-25.97101601818217,88.70214373826683,119.75023579280658,156.70072698441749,21.0,553.8299999999999,143.99829244180822,158.00089871483777
mean,additive-control,pre-2026-prior,8,event_type,0,all,264,528,215.8219696969697,165.51356273986863,-50.308406957101084,107.90925476386187,138.37871162453447,170.24699618160412,21.0,553.0300000000002,158.7150848890913,172.31204059064595
mean,additive-control,pre-2026-prior,8,event_type,2,all,326,652,277.8174846625767,165.51356273986858,-112.30392192270808,128.6637510630342,157.8307234068993,151.8574584672829,62.51,516.96,158.7150848890913,172.31204059064595
mean,additive-control,pre-2026-prior,8,event_type,5,all,1052,2104,324.1083650190114,165.51356273986863,-158.5948022791428,170.9807136184397,209.24798072082098,190.14509266848444,47.03,690.9699999999998,158.7150848890913,172.31204059064595
mean,additive-control,pre-2026-prior,10,event_type,3,all,1119,2238,434.04468275245756,178.55311527394448,-255.49156747851302,259.74537627054843,297.3584971532707,208.09829643725902,102.96000000000001,797.6300000000001,171.94597451406423,185.16025603382468
ridge,additive-control,pre-2026-prior,6,event_type,0,all,601,1202,188.4567387687188,118.57826831675762,-69.87847045196119,144.56650710551602,190.40504463217673,252.85504814801894,18.009999999999998,556.9000000000001,-265.7281954096996,614.5684681333163
ridge,additive-control,pre-2026-prior,6,event_type,1,all,1259,2518,176.97061159650517,110.03155729158941,-66.93905430491576,94.72622617232608,119.3871269971675,123.06996508197535,21.0,553.8299999999999,-98.51698882099556,428.8684110628732
ridge,additive-control,pre-2026-prior,8,event_type,0,all,264,528,215.8219696969697,137.91403747613148,-77.90793222083822,139.62468405268737,192.0372456614601,244.0762460655874,21.0,553.0300000000002,-341.0037078857701,566.4120129533636
