run_path,tensorboard_root,study_id,phase,architecture,initialization,seed,test_week,max_grad_norm,candidate_epochs,event_file_count,bytes,oldest_at_utc,newest_at_utc,scalar_tag_count,max_step,status
runs/reference-2026-static-reliability/2026-static-reliability-smoke/seed_2026/additive/fold_6/contract,reference-2026-static-reliability,2026-static-reliability-smoke,final-fixed-duration,additive,,2026,6.0,,,1,1024,2026-07-12T19:59:48.441326+00:00,2026-07-12T19:59:48.441326+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/seed_2026/additive/fold_6/outcomes,reference-2026-static-reliability,2026-static-reliability-smoke,final-fixed-duration,additive,,2026,6.0,,,1,2218,2026-07-12T20:00:35.535060+00:00,2026-07-12T20:00:35.535060+00:00,17,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/seed_2026/full-match/fold_6,reference-2026-static-reliability,2026-static-reliability-smoke,final-fixed-duration,full-match,,2026,6.0,,,1,894760,2026-07-12T20:01:24.221546+00:00,2026-07-12T20:01:24.221546+00:00,142,80,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/seed_2026/full-match/fold_6/contract,reference-2026-static-reliability,2026-static-reliability-smoke,final-fixed-duration,full-match,,2026,6.0,,,1,1026,2026-07-12T20:01:02.553815+00:00,2026-07-12T20:01:02.553815+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/seed_2026/full-match/fold_6/outcomes,reference-2026-static-reliability,2026-static-reliability-smoke,final-fixed-duration,full-match,,2026,6.0,,,1,2220,2026-07-12T20:01:27.566848+00:00,2026-07-12T20:01:27.566848+00:00,17,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/seed_2026/teammate-set/fold_6,reference-2026-static-reliability,2026-static-reliability-smoke,final-fixed-duration,teammate-set,,2026,6.0,,,1,643672,2026-07-12T20:00:58.064234+00:00,2026-07-12T20:00:58.064234+00:00,142,80,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/seed_2026/teammate-set/fold_6/contract,reference-2026-static-reliability,2026-static-reliability-smoke,final-fixed-duration,teammate-set,,2026,6.0,,,1,1028,2026-07-12T20:00:36.995335+00:00,2026-07-12T20:00:36.995335+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability-smoke/seed_2026/teammate-set/fold_6/outcomes,reference-2026-static-reliability,2026-static-reliability-smoke,final-fixed-duration,teammate-set,,2026,6.0,,,1,2222,2026-07-12T20:01:01.320385+00:00,2026-07-12T20:01:01.320385+00:00,17,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/additive/clip_5_0,reference-2026-static-reliability,2026-static-reliability,development-grid,additive,,,,5.0,,1,95854,2026-07-12T19:46:46.579635+00:00,2026-07-12T19:46:46.579635+00:00,160,40,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/additive/clip_5_0/contract,reference-2026-static-reliability,2026-static-reliability,development-grid,additive,,,,5.0,,1,1024,2026-07-12T19:46:33.020580+00:00,2026-07-12T19:46:33.020580+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/additive/clip_5_0/outcomes,reference-2026-static-reliability,2026-static-reliability,development-grid,additive,,,,5.0,,1,3700,2026-07-12T19:47:16.878790+00:00,2026-07-12T19:47:16.878790+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/confirmation/additive/epochs_2,reference-2026-static-reliability,2026-static-reliability,development-confirmation,additive,,,,,2.0,1,105030,2026-07-12T19:49:08.028266+00:00,2026-07-12T19:49:08.028266+00:00,160,40,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/confirmation/additive/epochs_2/contract,reference-2026-static-reliability,2026-static-reliability,development-confirmation,additive,,,,,2.0,1,1024,2026-07-12T19:48:51.943236+00:00,2026-07-12T19:48:51.943236+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/confirmation/additive/epochs_2/outcomes,reference-2026-static-reliability,2026-static-reliability,development-confirmation,additive,,,,,2.0,1,3708,2026-07-12T19:49:30.625598+00:00,2026-07-12T19:49:30.625598+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/confirmation/full-match/epochs_2,reference-2026-static-reliability,2026-static-reliability,development-confirmation,full-match,,,,,2.0,1,915395,2026-07-12T19:50:32.693230+00:00,2026-07-12T19:50:32.693230+00:00,162,40,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/confirmation/full-match/epochs_2/contract,reference-2026-static-reliability,2026-static-reliability,development-confirmation,full-match,,,,,2.0,1,1026,2026-07-12T19:50:07.258082+00:00,2026-07-12T19:50:07.258082+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/confirmation/full-match/epochs_2/outcomes,reference-2026-static-reliability,2026-static-reliability,development-confirmation,full-match,,,,,2.0,1,3710,2026-07-12T19:50:56.861614+00:00,2026-07-12T19:50:56.861614+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/confirmation/teammate-set/epochs_2,reference-2026-static-reliability,2026-static-reliability,development-confirmation,teammate-set,,,,,2.0,1,652611,2026-07-12T19:49:51.772987+00:00,2026-07-12T19:49:51.772987+00:00,162,40,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/confirmation/teammate-set/epochs_2/contract,reference-2026-static-reliability,2026-static-reliability,development-confirmation,teammate-set,,,,,2.0,1,1028,2026-07-12T19:49:30.663928+00:00,2026-07-12T19:49:30.663928+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/confirmation/teammate-set/epochs_2/outcomes,reference-2026-static-reliability,2026-static-reliability,development-confirmation,teammate-set,,,,,2.0,1,3712,2026-07-12T19:50:07.239546+00:00,2026-07-12T19:50:07.239546+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/full-match/clip_5_0,reference-2026-static-reliability,2026-static-reliability,development-grid,full-match,,,,5.0,,1,915358,2026-07-12T19:48:26.939809+00:00,2026-07-12T19:48:26.939809+00:00,162,40,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/full-match/clip_5_0/contract,reference-2026-static-reliability,2026-static-reliability,development-grid,full-match,,,,5.0,,1,1026,2026-07-12T19:48:12.191227+00:00,2026-07-12T19:48:12.191227+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/full-match/clip_5_0/outcomes,reference-2026-static-reliability,2026-static-reliability,development-grid,full-match,,,,5.0,,1,3702,2026-07-12T19:48:51.914477+00:00,2026-07-12T19:48:51.914477+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/teammate-set/clip_5_0,reference-2026-static-reliability,2026-static-reliability,development-grid,teammate-set,,,,5.0,,1,652574,2026-07-12T19:47:49.582321+00:00,2026-07-12T19:47:49.582321+00:00,162,40,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/teammate-set/clip_5_0/contract,reference-2026-static-reliability,2026-static-reliability,development-grid,teammate-set,,,,5.0,,1,1028,2026-07-12T19:47:17.064180+00:00,2026-07-12T19:47:17.064180+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/development/teammate-set/clip_5_0/outcomes,reference-2026-static-reliability,2026-static-reliability,development-grid,teammate-set,,,,5.0,,1,3704,2026-07-12T19:48:12.171128+00:00,2026-07-12T19:48:12.171128+00:00,36,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/seed_2026/additive/fold_6,reference-2026-static-reliability,2026-static-reliability,final-fixed-duration,additive,,2026,6.0,,,1,103664,2026-07-12T19:51:09.839848+00:00,2026-07-12T19:51:09.839848+00:00,140,80,readable
runs/reference-2026-static-reliability/2026-static-reliability/seed_2026/additive/fold_6/contract,reference-2026-static-reliability,2026-static-reliability,final-fixed-duration,additive,,2026,6.0,,,1,1024,2026-07-12T19:50:56.901153+00:00,2026-07-12T19:50:56.901153+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/seed_2026/additive/fold_6/outcomes,reference-2026-static-reliability,2026-static-reliability,final-fixed-duration,additive,,2026,6.0,,,1,2218,2026-07-12T19:51:12.734461+00:00,2026-07-12T19:51:12.734461+00:00,17,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/seed_2026/full-match/fold_6,reference-2026-static-reliability,2026-static-reliability,final-fixed-duration,full-match,,2026,6.0,,,1,894754,2026-07-12T19:51:56.985299+00:00,2026-07-12T19:51:56.985299+00:00,142,80,readable
runs/reference-2026-static-reliability/2026-static-reliability/seed_2026/full-match/fold_6/contract,reference-2026-static-reliability,2026-static-reliability,final-fixed-duration,full-match,,2026,6.0,,,1,1026,2026-07-12T19:51:36.972174+00:00,2026-07-12T19:51:36.972174+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/seed_2026/full-match/fold_6/outcomes,reference-2026-static-reliability,2026-static-reliability,final-fixed-duration,full-match,,2026,6.0,,,1,2220,2026-07-12T19:52:00.900861+00:00,2026-07-12T19:52:00.900861+00:00,17,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/seed_2026/teammate-set/fold_6,reference-2026-static-reliability,2026-static-reliability,final-fixed-duration,teammate-set,,2026,6.0,,,1,643666,2026-07-12T19:51:33.030110+00:00,2026-07-12T19:51:33.030110+00:00,142,80,readable
runs/reference-2026-static-reliability/2026-static-reliability/seed_2026/teammate-set/fold_6/contract,reference-2026-static-reliability,2026-static-reliability,final-fixed-duration,teammate-set,,2026,6.0,,,1,1028,2026-07-12T19:51:13.937168+00:00,2026-07-12T19:51:13.937168+00:00,1,0,readable
runs/reference-2026-static-reliability/2026-static-reliability/seed_2026/teammate-set/fold_6/outcomes,reference-2026-static-reliability,2026-static-reliability,final-fixed-duration,teammate-set,,2026,6.0,,,1,2222,2026-07-12T19:51:35.766582+00:00,2026-07-12T19:51:35.766582+00:00,17,0,readable
runs/reference-2026-static/2026-static-z-base/additive/fold_10/refit,reference-2026-static,2026-static-z-base,refit,additive,,,10.0,,,1,178997,2026-07-12T18:19:58.502227+00:00,2026-07-12T18:19:58.502227+00:00,140,730,readable
runs/reference-2026-static/2026-static-z-base/additive/fold_10/refit/contract,reference-2026-static,2026-static-z-base,refit,additive,,,10.0,,,1,1024,2026-07-12T18:19:05.361307+00:00,2026-07-12T18:19:05.361307+00:00,1,0,readable
runs/reference-2026-static/2026-static-z-base/additive/fold_10/refit/outcomes,reference-2026-static,2026-static-z-base,refit,additive,,,10.0,,,1,2203,2026-07-12T18:20:01.211053+00:00,2026-07-12T18:20:01.211053+00:00,17,0,readable
runs/reference-2026-static/2026-static-z-base/additive/fold_10/selection,reference-2026-static,2026-static-z-base,selection,additive,,,10.0,,,1,208909,2026-07-12T18:18:54.755834+00:00,2026-07-12T18:18:54.755834+00:00,160,730,readable
runs/reference-2026-static/2026-static-z-base/additive/fold_10/selection/contract,reference-2026-static,2026-static-z-base,selection,additive,,,10.0,,,1,1024,2026-07-12T18:17:54.082646+00:00,2026-07-12T18:17:54.082646+00:00,1,0,readable
runs/reference-2026-static/2026-static-z-base/additive/fold_10/selection/outcomes,reference-2026-static,2026-static-z-base,selection,additive,,,10.0,,,1,3693,2026-07-12T18:19:04.825207+00:00,2026-07-12T18:19:04.825207+00:00,36,0,readable
runs/reference-2026-static/2026-static-z-base/additive/fold_6/refit,reference-2026-static,2026-static-z-base,refit,additive,,,6.0,,,1,170755,2026-07-12T18:14:59.370015+00:00,2026-07-12T18:14:59.370015+00:00,140,480,readable
runs/reference-2026-static/2026-static-z-base/additive/fold_6/refit/contract,reference-2026-static,2026-static-z-base,refit,additive,,,6.0,,,1,1024,2026-07-12T18:13:54.080473+00:00,2026-07-12T18:13:54.080473+00:00,1,0,readable
runs/reference-2026-static/2026-static-z-base/additive/fold_6/refit/outcomes,reference-2026-static,2026-static-z-base,refit,additive,,,6.0,,,1,2203,2026-07-12T18:15:03.634151+00:00,2026-07-12T18:15:03.634151+00:00,17,0,readable
