supervision_mode,architecture,seed,epoch,scope,probability_variant,bin,count,mean_prediction,observed_rate
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_platt_red_win_probability,0,1,0.014219887593370588,0.0
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_platt_red_win_probability,1,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_platt_red_win_probability,2,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_platt_red_win_probability,3,1,0.32325117329850084,0.0
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_platt_red_win_probability,4,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_platt_red_win_probability,5,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_platt_red_win_probability,6,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_platt_red_win_probability,7,2,0.7826088115973622,1.0
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_platt_red_win_probability,8,2,0.8539572809163275,1.0
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_platt_red_win_probability,9,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_score_red_win_probability,0,1,0.014219887593370588,0.0
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_score_red_win_probability,1,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_score_red_win_probability,2,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_score_red_win_probability,3,1,0.32325117329850084,0.0
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_score_red_win_probability,4,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_score_red_win_probability,5,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_score_red_win_probability,6,0,,
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_score_red_win_probability,7,2,0.7826088115973622,1.0
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_score_red_win_probability,8,2,0.8539572809163275,1.0
baseline,direct-total-pridge,control,0.0,surrogate-only,transferred_score_red_win_probability,9,0,,
baseline,direct-total-pridge,control,0.0,division:2026arc,raw_pred_red_win_probability,0,20,0.044834231120999546,0.1
baseline,direct-total-pridge,control,0.0,division:2026arc,raw_pred_red_win_probability,1,11,0.13320065301717773,0.36363636363636365
baseline,direct-total-pridge,control,0.0,division:2026arc,raw_pred_red_win_probability,2,8,0.2457551256759545,0.25
baseline,direct-total-pridge,control,0.0,division:2026arc,raw_pred_red_win_probability,3,12,0.3533271197704699,0.25
baseline,direct-total-pridge,control,0.0,division:2026arc,raw_pred_red_win_probability,4,15,0.4535338585326034,0.3333333333333333
baseline,direct-total-pridge,control,0.0,division:2026arc,raw_pred_red_win_probability,5,6,0.5358404991450344,0.16666666666666666
baseline,direct-total-pridge,control,0.0,division:2026arc,raw_pred_red_win_probability,6,10,0.6449386276990527,0.6
baseline,direct-total-pridge,control,0.0,division:2026arc,raw_pred_red_win_probability,7,12,0.7589817870829885,0.8333333333333334
baseline,direct-total-pridge,control,0.0,division:2026arc,raw_pred_red_win_probability,8,19,0.8768144628120583,0.5789473684210527
baseline,direct-total-pridge,control,0.0,division:2026arc,raw_pred_red_win_probability,9,27,0.9543855256566185,0.9629629629629629
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_platt_red_win_probability,0,20,0.044834231120999546,0.1
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_platt_red_win_probability,1,11,0.13320065301717773,0.36363636363636365
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_platt_red_win_probability,2,8,0.2457551256759545,0.25
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_platt_red_win_probability,3,12,0.3533271197704699,0.25
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_platt_red_win_probability,4,15,0.4535338585326034,0.3333333333333333
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_platt_red_win_probability,5,6,0.5358404991450344,0.16666666666666666
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_platt_red_win_probability,6,10,0.6449386276990527,0.6
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_platt_red_win_probability,7,12,0.7589817870829885,0.8333333333333334
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_platt_red_win_probability,8,19,0.8768144628120583,0.5789473684210527
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_platt_red_win_probability,9,27,0.9543855256566185,0.9629629629629629
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_score_red_win_probability,0,20,0.044834231120999546,0.1
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_score_red_win_probability,1,11,0.13320065301717773,0.36363636363636365
baseline,direct-total-pridge,control,0.0,division:2026arc,transferred_score_red_win_probability,2,8,0.2457551256759545,0.25
