comparison,metric,omitted_event,delta_right_minus_left,left_value,right_value,relative_delta
teammate-v-additive:phase-core,score_squared_error,2026arc,2650.7189487109295,129.78901284805076,139.62774367862,0.07580557563903989
teammate-v-additive:phase-core,score_squared_error,2026cur,2785.138826620783,129.58106017157914,139.91565309789752,0.0797538846543953
teammate-v-additive:phase-core,score_squared_error,2026dal,2391.5387100050125,132.3040593383944,141.05283700593333,0.06612629809915467
teammate-v-additive:phase-core,score_squared_error,2026gal,3576.4735635943603,124.4368866373924,138.06162507953326,0.10949115499685537
teammate-v-additive:phase-core,score_squared_error,2026hop,2067.758509195783,128.0110732934525,135.84768454021383,0.061218229369866144
teammate-v-additive:phase-core,score_squared_error,2026joh,2592.7382734389944,129.82845279480858,139.4566793973413,0.07416114415035008
teammate-v-additive:phase-core,score_squared_error,2026mil,2646.513994237118,130.94290084075016,140.68602373664433,0.07440741600603108
teammate-v-additive:phase-core,score_squared_error,2026new,2815.710926054675,127.48763372061144,138.08985363789571,0.0831627320067685
teammate-v-additive:phase-core,differential_squared_error,2026arc,4864.758298791188,152.46114466665392,167.65786272005727,0.09967600654337176
teammate-v-additive:phase-core,differential_squared_error,2026cur,4892.538049258844,155.57253928022539,170.57360003047398,0.09642486276596607
teammate-v-additive:phase-core,differential_squared_error,2026dal,4214.315573627145,155.47653996570244,168.4852220621554,0.08366974271052485
teammate-v-additive:phase-core,differential_squared_error,2026gal,6074.632358514188,148.1192645457485,167.3736803923712,0.12999265089299522
teammate-v-additive:phase-core,differential_squared_error,2026hop,4782.461242291729,152.80585221256518,167.726234419962,0.09764274071546268
teammate-v-additive:phase-core,differential_squared_error,2026joh,5053.2569108989965,153.39287702324654,169.06398679898635,0.10216321696192494
teammate-v-additive:phase-core,differential_squared_error,2026mil,4853.197291351886,154.64376916899562,169.61100387105043,0.09678524251241269
teammate-v-additive:phase-core,differential_squared_error,2026new,5048.679315947474,153.10840282829253,168.7923645565112,0.10243697562313321
teammate-v-additive:phase-core,winner_brier,2026arc,0.05387335486972077,0.21507345965506597,0.2689468145247868,0.2504881585860139
teammate-v-additive:phase-core,winner_brier,2026cur,0.052376899340670725,0.22191598266454873,0.27429288200521945,0.23602130280018796
teammate-v-additive:phase-core,winner_brier,2026dal,0.04990656459341645,0.22295224990051524,0.2728588144939317,0.22384418464350786
teammate-v-additive:phase-core,winner_brier,2026gal,0.056619635734831204,0.21634286802793912,0.27296250376277026,0.26171251334025547
teammate-v-additive:phase-core,winner_brier,2026hop,0.05644788342080465,0.22282701472446145,0.2792748981452661,0.2533260318126407
teammate-v-additive:phase-core,winner_brier,2026joh,0.0589684975398821,0.21888494275111176,0.27785344029099385,0.2694040841673317
teammate-v-additive:phase-core,winner_brier,2026mil,0.046545192956772806,0.22069618820080625,0.26724138115757906,0.21090166230883173
teammate-v-additive:phase-core,winner_brier,2026new,0.04823165912279418,0.22143948077063091,0.26967113989342506,0.21780966499263493
teammate-v-additive:phase-core,winner_log_loss,2026arc,0.46610127886040265,0.7672096608121224,1.2333109396725248,0.6075279062140789
teammate-v-additive:phase-core,winner_log_loss,2026cur,0.49629265227125585,0.8046650172889476,1.3009576695602034,0.6167692662262735
teammate-v-additive:phase-core,winner_log_loss,2026dal,0.4828955289642205,0.8067779995042724,1.2896735284684926,0.5985482118512615
teammate-v-additive:phase-core,winner_log_loss,2026gal,0.5020422161584139,0.7750760660330945,1.2771182821915086,0.6477328331500533
teammate-v-additive:phase-core,winner_log_loss,2026hop,0.538936083137512,0.7994400273673785,1.3383761105048906,0.674141980246189
teammate-v-additive:phase-core,winner_log_loss,2026joh,0.5492322284770166,0.7769822586120412,1.3262144870890578,0.7068787252081343
teammate-v-additive:phase-core,winner_log_loss,2026mil,0.46044226395028237,0.7912189118112927,1.251661175761575,0.5819404175972208
teammate-v-additive:phase-core,winner_log_loss,2026new,0.5137100388683169,0.7988608784031972,1.3125709172715139,0.6430531933108876
full-v-teammate:phase-core,score_squared_error,2026arc,1627.7601552966808,139.62774367862,145.33983266840198,0.04090941269472532
full-v-teammate:phase-core,score_squared_error,2026cur,1512.01424208743,139.91565309789752,145.21847067056802,0.03790010234923594
full-v-teammate:phase-core,score_squared_error,2026dal,1972.6361849089549,141.05283700593333,147.88015083956114,0.04840252758149504
full-v-teammate:phase-core,score_squared_error,2026gal,1788.5042909789759,138.06162507953326,144.39361693156866,0.045863518181737506
full-v-teammate:phase-core,score_squared_error,2026hop,1529.9050163526338,135.84768454021383,141.36653922088524,0.04062531282259515
full-v-teammate:phase-core,score_squared_error,2026joh,1487.231745199916,139.4566793973413,144.69069484155762,0.037531479071744596
full-v-teammate:phase-core,score_squared_error,2026mil,1497.5212913586724,140.68602373664433,145.91120096204514,0.03714069874618126
full-v-teammate:phase-core,score_squared_error,2026new,1292.241677144982,138.08985363789571,142.69214889012093,0.03332826511854756
full-v-teammate:phase-core,differential_squared_error,2026arc,-345.897930045255,167.65786272005727,166.6231106473898,-0.0061718076079450655
full-v-teammate:phase-core,differential_squared_error,2026cur,-283.8479005708383,170.57360003047398,169.73952140496118,-0.004889845939604893
full-v-teammate:phase-core,differential_squared_error,2026dal,695.1309526519758,168.4852220621554,170.53562972583114,0.012169658790130163
full-v-teammate:phase-core,differential_squared_error,2026gal,298.4135942484843,167.3736803923712,168.2627780655487,0.005312051877530604
full-v-teammate:phase-core,differential_squared_error,2026hop,333.9355718963159,167.726234419962,168.718775732271,0.0059176271126664464
full-v-teammate:phase-core,differential_squared_error,2026joh,-1054.3368043012417,169.06398679898635,165.91652970113194,-0.01861695774154833
full-v-teammate:phase-core,differential_squared_error,2026mil,-84.01131650185681,169.61100387105043,169.3631639927751,-0.0014612252307860474
full-v-teammate:phase-core,differential_squared_error,2026new,-507.0431044044061,168.7923645565112,167.28364901619577,-0.008938292583787508
full-v-teammate:phase-core,winner_brier,2026arc,0.011771203970062214,0.2689468145247868,0.28071801849484895,0.04376777613395858
full-v-teammate:phase-core,winner_brier,2026cur,0.01097404069008207,0.27429288200521945,0.2852669226953015,0.040008477835284266
full-v-teammate:phase-core,winner_brier,2026dal,0.0066418878246794506,0.2728588144939317,0.2795007023186111,0.02434184813489748
full-v-teammate:phase-core,winner_brier,2026gal,0.015978976832886366,0.27296250376277026,0.28894148059565666,0.058539090946988157
full-v-teammate:phase-core,winner_brier,2026hop,0.011757925804194472,0.2792748981452661,0.29103282394946056,0.04210162059777566
full-v-teammate:phase-core,winner_brier,2026joh,-0.00037036514551814543,0.27785344029099385,0.2774830751454757,-0.0013329514478217582
full-v-teammate:phase-core,winner_brier,2026mil,0.023077122246720656,0.26724138115757906,0.29031850340429965,0.08635310200373929
full-v-teammate:phase-core,winner_brier,2026new,0.010811035830815802,0.26967113989342506,0.2804821757242409,0.04008970272120475
full-v-teammate:phase-core,winner_log_loss,2026arc,0.2526987872988514,1.2333109396725248,1.4860097269713766,0.20489462889703197
full-v-teammate:phase-core,winner_log_loss,2026cur,0.23810589130852433,1.3009576695602034,1.539063560868728,0.183023550173633
full-v-teammate:phase-core,winner_log_loss,2026dal,0.21984034221901738,1.2896735284684926,1.5095138706875104,0.17046201024229882
full-v-teammate:phase-core,winner_log_loss,2026gal,0.2614899678324923,1.2771182821915086,1.538608250024001,0.20474999965060486
full-v-teammate:phase-core,winner_log_loss,2026hop,0.19819487009826334,1.3383761105048906,1.5365709806031536,0.1480860787506852
full-v-teammate:phase-core,winner_log_loss,2026joh,0.11637514782698696,1.3262144870890578,1.4425896349160447,0.08774986924054931
full-v-teammate:phase-core,winner_log_loss,2026mil,0.30830940586169686,1.251661175761575,1.559970581623272,0.24632017979954182
full-v-teammate:phase-core,winner_log_loss,2026new,0.1813297021537533,1.3125709172715139,1.4939006194252673,0.1381484990774363
full-v-additive:phase-core,score_squared_error,2026arc,4278.47910400761,129.78901284805076,145.33983266840198,0.11981614991214391
full-v-additive:phase-core,score_squared_error,2026cur,4297.153068708213,129.58106017157914,145.21847067056802,0.12067666739478197
full-v-additive:phase-core,score_squared_error,2026dal,4364.174894913967,132.3040593383944,147.88015083956114,0.11772950564825621
full-v-additive:phase-core,score_squared_error,2026gal,5364.977854573336,124.4368866373924,144.39361693156866,0.1603763227565306
full-v-additive:phase-core,score_squared_error,2026hop,3597.6635255484166,128.0110732934525,141.36653922088524,0.10433055191105749
full-v-additive:phase-core,score_squared_error,2026joh,4079.97001863891,129.82845279480858,144.69069484155762,0.11447600065171018
full-v-additive:phase-core,score_squared_error,2026mil,4144.035285595791,130.94290084075016,145.91120096204514,0.11431165817457413
full-v-additive:phase-core,score_squared_error,2026new,4107.952603199657,127.48763372061144,142.69214889012093,0.11926266670562037
full-v-additive:phase-core,differential_squared_error,2026arc,4518.860368745934,152.46114466665392,166.6231106473898,0.09288901779991272
full-v-additive:phase-core,differential_squared_error,2026cur,4608.690148688006,155.57253928022539,169.73952140496118,0.09106351410268805
full-v-additive:phase-core,differential_squared_error,2026dal,4909.44652627912,155.47653996570244,170.53562972583114,0.09685763372050009
full-v-additive:phase-core,differential_squared_error,2026gal,6373.04595276267,148.1192645457485,168.2627780655487,0.13599523047576714
full-v-additive:phase-core,differential_squared_error,2026hop,5116.396814188045,152.80585221256518,168.718775732271,0.10413818115794202
full-v-additive:phase-core,differential_squared_error,2026joh,3998.9201065977545,153.39287702324654,165.91652970113194,0.08164429092745583
full-v-additive:phase-core,differential_squared_error,2026mil,4769.185974850029,154.64376916899562,169.3631639927751,0.09518259224329977
full-v-additive:phase-core,differential_squared_error,2026new,4541.636211543067,153.10840282829253,167.28364901619577,0.09258307137982784
full-v-additive:phase-core,winner_brier,2026arc,0.06564455883978298,0.21507345965506597,0.28071801849484895,0.3052192443691727
full-v-additive:phase-core,winner_brier,2026cur,0.0633509400307528,0.22191598266454873,0.2852669226953015,0.2854726336972085
full-v-additive:phase-core,winner_brier,2026dal,0.05654845241809588,0.22295224990051524,0.2795007023186111,0.2536348139268776
full-v-additive:phase-core,winner_brier,2026gal,0.07259861256771756,0.21634286802793912,0.28894148059565666,0.33557201690763366
full-v-additive:phase-core,winner_brier,2026hop,0.06820580922499912,0.22282701472446145,0.29103282394946056,0.3060930888893322
full-v-additive:phase-core,winner_brier,2026joh,0.05859813239436395,0.21888494275111176,0.2774830751454757,0.26771203015547
full-v-additive:phase-core,winner_brier,2026mil,0.06962231520349346,0.22069618820080625,0.29031850340429965,0.3154667770706837
full-v-additive:phase-core,winner_brier,2026new,0.059042694953609975,0.22143948077063091,0.2804821757242409,0.2666312924331996
full-v-additive:phase-core,winner_log_loss,2026arc,0.7188000661592542,0.7672096608121224,1.4860097269713766,0.9369017399994355
full-v-additive:phase-core,winner_log_loss,2026cur,0.7343985435797802,0.8046650172889476,1.539063560868728,0.9126761171426256
full-v-additive:phase-core,winner_log_loss,2026dal,0.7027358711832379,0.8067779995042724,1.5095138706875104,0.8710399535126596
full-v-additive:phase-core,winner_log_loss,2026gal,0.7635321839909064,0.7750760660330945,1.538608250024001,0.9851061301618167
full-v-additive:phase-core,winner_log_loss,2026hop,0.7371309532357753,0.7994400273673785,1.5365709806031536,0.9220591013727542
full-v-additive:phase-core,winner_log_loss,2026joh,0.6656073763040036,0.7769822586120412,1.4425896349160447,0.8566571101546235
full-v-additive:phase-core,winner_log_loss,2026mil,0.7687516698119793,0.7912189118112927,1.559970581623272,0.9716042656919306
full-v-additive:phase-core,winner_log_loss,2026new,0.6950397410220701,0.7988608784031972,1.4939006194252673,0.8700385258711756
teammate-v-additive:official-total-core,score_squared_error,2026arc,4936.734118036219,125.75975652345262,144.05641422329762,0.14548897203401392
teammate-v-additive:official-total-core,score_squared_error,2026cur,4891.521208550195,125.63428744928794,143.78976107998966,0.14451049947674632
teammate-v-additive:official-total-core,score_squared_error,2026dal,4777.076461886829,128.6015372481224,145.99805424890786,0.13527456493168352
teammate-v-additive:official-total-core,score_squared_error,2026gal,5040.582362012169,122.6458446882021,141.71303955986113,0.15546547802033436
teammate-v-additive:official-total-core,score_squared_error,2026hop,4501.519358776206,124.11711377338086,141.0906704577258,0.1367543618145688
teammate-v-additive:official-total-core,score_squared_error,2026joh,4657.260233917522,125.8304791051776,143.14527482860223,0.13760414683752217
teammate-v-additive:official-total-core,score_squared_error,2026mil,4733.11267807776,127.35976662672525,144.7536625902491,0.13657292584794908
teammate-v-additive:official-total-core,score_squared_error,2026new,5248.751892778845,123.96224952895628,143.58060872227162,0.15826075493033628
teammate-v-additive:official-total-core,differential_squared_error,2026arc,9449.317958848958,148.88561239404993,177.8095709932405,0.19426966873493876
teammate-v-additive:official-total-core,differential_squared_error,2026cur,9005.193412742647,152.0973728517033,179.27298804095585,0.1786724825007272
teammate-v-additive:official-total-core,differential_squared_error,2026dal,8852.387795517316,152.29934734267925,179.01809684085958,0.17543574522392497
teammate-v-additive:official-total-core,differential_squared_error,2026gal,9183.250346394054,147.80670109750386,176.15354448809967,0.19178320861038772
teammate-v-additive:official-total-core,differential_squared_error,2026hop,9058.489594931796,149.2138686174304,176.9838076850862,0.18610829760640532
teammate-v-additive:official-total-core,differential_squared_error,2026joh,9618.07327122639,149.92995552451436,179.15653723715818,0.19493490550569206
teammate-v-additive:official-total-core,differential_squared_error,2026mil,9384.222108670503,151.43658448384215,179.77002316516055,0.18709771339528258
teammate-v-additive:official-total-core,differential_squared_error,2026new,10124.409404716927,149.87781006168595,180.520822493151,0.2044532971148508
teammate-v-additive:official-total-core,winner_brier,2026arc,0.07652186894471028,0.21545119613048588,0.29197306507519616,0.35517031382998476
teammate-v-additive:official-total-core,winner_brier,2026cur,0.07275343068264571,0.2225666827523803,0.295320113435026,0.32688374460605385
