phase,supervision_mode,architecture,epoch,nominal_parameter_count,trainable_parameter_count,gradient_receiving_parameter_count,active_team_rows,module_Z_base_nominal_parameter_count,module_Z_base_trainable_parameter_count,module_Z_base_gradient_receiving_parameter_count,module_prediction_heads_nominal_parameter_count,module_prediction_heads_trainable_parameter_count,module_prediction_heads_gradient_receiving_parameter_count,module_sab_nominal_parameter_count,module_sab_trainable_parameter_count,module_sab_gradient_receiving_parameter_count,module_pma_nominal_parameter_count,module_pma_trainable_parameter_count,module_pma_gradient_receiving_parameter_count,module_cross_nominal_parameter_count,module_cross_trainable_parameter_count,module_cross_gradient_receiving_parameter_count
development,phase-core,teammate-set,37,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,38,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,39,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,40,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,41,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,42,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,43,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,44,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,45,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,46,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,47,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,48,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,49,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,50,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,51,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,52,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,53,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,54,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,55,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,56,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,57,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,58,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,59,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,60,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,61,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,62,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,63,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,64,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,65,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
development,phase-core,teammate-set,66,62466,62466,62466,3625,58480,58480,58480,578,578,578,1696.0,1696.0,1696.0,1712.0,1712.0,1712.0,,,
