supervision_mode,architecture,seed,epoch,scope,probability_variant,metric,value,count,direction
baseline,direct-total-ridge,control,0.0,division:2026arc,raw_pred_red_win_probability,relative_bias,-0.10431732678291948,282,lower
baseline,direct-total-ridge,control,0.0,division:2026arc,transferred_platt_red_win_probability,alliance_score_rmse,122.12789006699684,282,lower
baseline,direct-total-ridge,control,0.0,division:2026arc,transferred_platt_red_win_probability,mean_bias,-46.37164119219736,282,lower
baseline,direct-total-ridge,control,0.0,division:2026arc,transferred_platt_red_win_probability,relative_bias,-0.10431732678291948,282,lower
baseline,direct-total-ridge,control,0.0,division:2026arc,transferred_score_red_win_probability,alliance_score_rmse,122.12789006699684,282,lower
baseline,direct-total-ridge,control,0.0,division:2026arc,transferred_score_red_win_probability,mean_bias,-46.37164119219736,282,lower
baseline,direct-total-ridge,control,0.0,division:2026arc,transferred_score_red_win_probability,relative_bias,-0.10431732678291948,282,lower
baseline,direct-total-ridge,control,0.0,division:2026cur,raw_pred_red_win_probability,alliance_score_rmse,126.06341078484867,278,lower
baseline,direct-total-ridge,control,0.0,division:2026cur,raw_pred_red_win_probability,mean_bias,-62.32446444737664,278,lower
baseline,direct-total-ridge,control,0.0,division:2026cur,raw_pred_red_win_probability,relative_bias,-0.14365238215410328,278,lower
baseline,direct-total-ridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,alliance_score_rmse,126.06341078484867,278,lower
baseline,direct-total-ridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,mean_bias,-62.32446444737664,278,lower
baseline,direct-total-ridge,control,0.0,division:2026cur,transferred_platt_red_win_probability,relative_bias,-0.14365238215410328,278,lower
baseline,direct-total-ridge,control,0.0,division:2026cur,transferred_score_red_win_probability,alliance_score_rmse,126.06341078484867,278,lower
baseline,direct-total-ridge,control,0.0,division:2026cur,transferred_score_red_win_probability,mean_bias,-62.32446444737664,278,lower
baseline,direct-total-ridge,control,0.0,division:2026cur,transferred_score_red_win_probability,relative_bias,-0.14365238215410328,278,lower
baseline,direct-total-ridge,control,0.0,division:2026dal,raw_pred_red_win_probability,alliance_score_rmse,108.31882164894323,280,lower
baseline,direct-total-ridge,control,0.0,division:2026dal,raw_pred_red_win_probability,mean_bias,-37.77617136144688,280,lower
baseline,direct-total-ridge,control,0.0,division:2026dal,raw_pred_red_win_probability,relative_bias,-0.09265840865151573,280,lower
baseline,direct-total-ridge,control,0.0,division:2026dal,transferred_platt_red_win_probability,alliance_score_rmse,108.31882164894323,280,lower
